,Year,Date,Description,FullDate,Country
207,2022,September 27 – 30,"Hurricane Ian impacts Cuba and the US, causing catastrophic damage to both nations, killing at least 157 people, 16 missing, and leaving millions without power, including the entirety of Cuba.",,
208,2022,1-Oct,"A fatal human crush occurs during an association football match at Kanjuruhan Stadium in Malang Regency, East Java, Indonesia, killing 131 people and injuring more than 500.",10/01/2022,
209,2022,6-Oct,"36 people are killed in a shooting, stabbing, and vehicle-ramming at Nong Bua Lamphu, Thailand.",10/06/2022,
210,2022,2-Nov,Ethiopia–Tigray peace agreement.,11/02/2022,
211,2022,11-Nov,The FTX cryptocurrency exchange files for Chapter 11 bankruptcy.,11/11/2022,
212,2022,15-Nov,The world population is estimated to have reached 8 billion.,11/15/2022,
213,2022,16-Nov,"NASA launches Artemis 1, the first uncrewed mission of its Space Launch System, the most powerful rocket ever to reach orbit.",11/16/2022,
214,2022,26-Nov,COVID-19 protests in China.,11/26/2022,
215,2022,30-Nov,"OpenAI launches ChatGPT, an AI chatbot.",11/30/2022,
216,2022,7-Dec,"Self-coup attempt, impeachment and arrest of President Pedro Castillo sparks protests in Peru.",12/07/2022,
217,2022,9-Dec,Qatar corruption scandal at the European Parliament.,12/09/2022,
218,2023,January – October,2023 Israeli judicial reform protests.,,
219,2023,8-Jan,2023 Brazilian Congress attack.,01/08/2023,
220,2023,19-Jan,2023 French pension reform strikes.,01/19/2023,
221,2023,6-Feb,"2023 Turkey-Syria earthquakes kill nearly 60,000 people.",02/06/2023,
222,2023,21-Feb,"Cyclone Freddy kills 1,400 in Malawi and Mozambique.",02/21/2023,
223,2023,10-Mar,Iran and Saudi Arabia restore diplomatic relations.,03/10/2023,
224,2023,4-Apr,Finland joins NATO.,04/04/2023,
225,2023,13-Apr,R21/Matrix-M malaria vaccine approved for use.,04/13/2023,
226,2023,15-Apr,War in Sudan.,04/15/2023,
